first_name,last_name,company,phone,email,city,state,title,notes
Owner,Precision Garage Door,Precision Garage Door,(843) 253-0355,,Charleston,SC,garage_door,"[A-signal] garage_door | A) Saw a recent review say: ""It was a long wait, but I'm glad it's finally done."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,"Airport Heating & Cooling, Inc","Airport Heating & Cooling, Inc",(803) 926-9527,,Columbia,SC,hvac,"[A-signal] hvac | A) Saw a recent review say: ""I still have yet to receive an estimate by mail or email"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Alpha Air Heating and Cooling,Alpha Air Heating and Cooling,(803) 322-8015,,Rock Hill,SC,hvac,"[A-signal] hvac | A) Saw a recent review say: ""after that initial visit and paying them the $70, we didn't hear anything else from them."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Overhead Door Company of Charlotte,Overhead Door Company of Charlotte,(704) 887-3667,,Rock Hill,SC,garage_door,"[A-signal] garage_door | A) Saw a recent review say: ""Sent me a confirmation email and then never showed up !!"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,"Advantage AC, Tire & Repair","Advantage AC, Tire & Repair",(864) 410-2466,,Spartanburg,SC,hvac,"[A-signal] hvac | A) Saw a recent review say: ""on hold for 17 mins is rough for any customer when it's a 'I'll be right back'"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,One Hour Heating & Air Conditioning,One Hour Heating & Air Conditioning,(843) 284-9119,,Charleston,SC,hvac,"[A-signal] hvac | A) Saw a recent review say: ""I took off work early and waited 3 hours in a hot house, I called him back and was told he was pulled off the job for something else"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Air Solutions Heating and Cooling,Air Solutions Heating and Cooling,(843) 755-6879,,Florence,SC,hvac,"[A-signal] hvac | A) Saw a recent review say: ""After 6 calls Monday no one had a clue what was going on."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,OGD Overhead Garage Door,OGD Overhead Garage Door,(803) 879-5100,,Columbia,SC,garage_door,"[A-signal] garage_door | A) Saw a recent review say: ""most times I have to follow up 2-3 times to get a response"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Purpose Plumbing,Purpose Plumbing,(843) 793-0461,,Charleston,SC,plumber,"[A-signal] plumber | A) Saw a recent review say: ""showed up late two different times, then got mad at me for not being home 2 hours after their window"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Greymen's Plumbing,Greymen's Plumbing,(803) 524-6126,,Rock Hill,SC,plumber,"[A-signal] plumber | A) Saw a recent review say: ""the first day they were supposed to arrive at 9, but would shoot for 8am. Jack wasn't there the next morning"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Duckett Plumbing,Duckett Plumbing,(864) 387-2715,,Greenville,SC,plumber,"[A-signal] plumber | A) Saw a recent review say: ""We had some scheduling issues because we were"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,"Thames Lawn Care, Pressure Washing, & Se","Thames Lawn Care, Pressure Washing, & Septic Service",(803) 481-2344,,Sumter,SC,plumber,"[A-signal] plumber | A) Saw a recent review say: ""About two days later I received a text message from her stating that they could not help me"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,ClimateMakers Heating ● AC ● Plumbing,ClimateMakers Heating ● AC ● Plumbing,(843) 994-2850,,North Charleston,SC,hvac,"[A-signal] hvac | A) Saw a recent review say: ""What was billed and what I was told by the tech would be billed was not the same"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Polar Air And Mechanical LLC,Polar Air And Mechanical LLC,(843) 839-2378,,Myrtle Beach,SC,hvac,"[A-signal] hvac | A) Saw a recent review say: ""No communication, can’t get them to pick up the phone"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Five Star Plumbing Heating Cooling,Five Star Plumbing Heating Cooling,(864) 306-4898,,Spartanburg,SC,plumber,"[A-signal] plumber | A) Saw a recent review say: ""I received another text at 9:15pm stating we have to reschedule. I called one last time and the dispatcher couldn't provide any answers"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Cornerstone Construction,Cornerstone Construction,(864) 734-7183,,Greenville,SC,roofing,"[A-signal] roofing | A) Saw a recent review say: ""after numerous calls, Cornerstone has dragged their feet."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,American Inc.,American Inc.,(866) 710-3339,,Rock Hill,SC,hvac,"[A-signal] hvac | A) Saw a recent review say: ""2nd said he would let me know never ever heard back."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,ALL Plumbing Company | Charleston Plumbe,ALL Plumbing Company | Charleston Plumbers,(843) 761-8002,,Charleston,SC,plumber,"[A-signal] plumber | A) Saw a recent review say: ""They also said they showed up, I was home didn’t see anybody, no doorbell or knock."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Barrus Heating & Air,Barrus Heating & Air,(843) 871-1030,,Summerville,SC,hvac,"[A-signal] hvac | A) Saw a recent review say: ""the day before my appointment which I had scheduled for preseason to avoid any emergencies they called to reschedule me for their convenienc"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,"Affordable Plumbing, LLC","Affordable Plumbing, LLC",(803) 663-9429,,Aiken,SC,plumber,"[A-signal] plumber | A) Saw a recent review say: ""Made me wait a week for the work. Never called or showed up to my home for a scheduled service."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Air Pros Heating and Cooling,Air Pros Heating and Cooling,(843) 225-6052,,Charleston,SC,hvac,"[A-signal] hvac | A) Saw a recent review say: ""Tried over 5 times to get a response... Not a call back, nothing."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Williford Roofing & Construction,Williford Roofing & Construction,(843) 760-9500,,Charleston,SC,roofing,"[A-signal] roofing | A) Saw a recent review say: ""Williford Roofing has been dragging this out for over a year!"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Southern Seasons Heating & Air Condition,Southern Seasons Heating & Air Conditioning,(803) 837-4115,,Mount Pleasant,SC,hvac,"[A-signal] hvac | A) Saw a recent review say: ""My husband tried to get in touch with Claude on Sunday but never heard back."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Mighty Dog Roofing Greenville,Mighty Dog Roofing Greenville,(864) 551-4253,,Greenville,SC,roofing,"[A-signal] roofing | A) Saw a recent review say: ""They arrived promptly and stated they would provide an estimate with in 2 business days. That did not occur as it took 2 full weeks to get t"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,Gray’s Heating & Air Conditioning,Gray’s Heating & Air Conditioning,(843) 689-3111,,Hilton Head,SC,hvac,"[A-signal] hvac | A) Saw a recent review say: ""I had to call repeatedly throughout the process to get any information"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,ProLectric,ProLectric,(912) 210-1100,,Hilton Head,SC,electrician,"[A-signal] electrician | A) Saw a recent review say: ""They called me 25 minutes before my appointment to say an electrician called out sick and they couldn't honor the appointment."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,"Mack Heating & Cooling, Inc.","Mack Heating & Cooling, Inc.",(803) 996-4791,,Columbia,SC,hvac,"[A-signal] hvac | A) Saw a recent review say: ""the only messages I received were the ones asking if I wanted to renew the yearly service agreement"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
Owner,"All About Garage Doors & More, LLC","All About Garage Doors & More, LLC",(843) 514-8913,,Charleston,SC,garage_door,"[A-signal] garage_door | A) Saw a recent review say: ""despite saying he would reach out to us to schedule the repair, he never did. After reaching out to him on multiple occasions"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?"
