priority,account,segment,prior_2025_revenue,relationship_route,live_qbo_checked,no_2026_order,open_ar_reviewed,open_quote_reviewed,contact_verified,relationship_approved,approval_status,owner,next_action,outcome,booked_revenue,invoice_id,cash_collected,lost_reason
1,CLC DAY CAMP,camp,35181.50,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
2,Camp Coniston,camp,21424.00,Todd route,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
3,Joseph Freedman Company,other,15043.00,Todd route,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
4,Upper Right Management,other,13964.32,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
5,Kiwi Country Day,other,12176.00,Todd route,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
6,Camp Burgess & Hayward,camp,10430.50,Todd route,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
7,Wildcat Booster Club,racquet/squash,7080.00,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
8,Transportation Alternatives,other,6946.00,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
9,Roger Arjoon,other,6728.21,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
10,Atlantic Avenue Local Dev,other,5622.00,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
11,Trust for Governors Island,other,5355.00,Missing contact,No,Unknown,No,No,No,No,Hold,Maclaine,verify_contact,,,,,,
12,The Heights Racquet & Social Club,racquet/squash,5025.00,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
13,Oasis Day Spa,other,4948.00,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
14,Berry Hill Elementary,other,4842.50,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
15,Hills East,other,4656.00,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
16,Cayman Islands National Squash Assn,racquet/squash,4262.00,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
17,Knickerbocker Field Club,racquet/squash,4211.00,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
18,Burrito Bar,other,4170.00,A/R hold,No,Unknown,No,No,No,No,Hold,Maclaine,route_to_invoice_chase,,,,,,
19,Little Cat Lodge,other,4043.00,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
20,Bridgeport National Bindery,other,3871.00,Todd route,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
21,Germantown Cricket Club,racquet/squash,3806.00,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
22,"Brownstoners of Bed-Stuy Inc",other,3717.50,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
23,Empire Environmental Services,other,3660.00,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
24,NYC iSCHOOL,other,3635.00,Direct review,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,
25,Greater Waterbury YMCA,camp,3606.63,Todd route,No,Unknown,No,No,No,No,Pending,Maclaine,call_then_email,,,,,,

