domain,vertical,tier,signal_score,signals,emp_estimate,has_demo_form,runs_ads,chat_tool,hiring_roles,funded_evidence,found_via
"mvmnt.io","provided","WARM (cold email)","1","runs-ads","10-30","True","True","False","","","infile"
"tai-software.com","provided","WARM (cold email)","1","runs-ads","20-60","True","True","False","","","infile"
"turvo.com","provided","WARM (cold email)","1","runs-ads","unknown/small","True","True","False","","","infile"
"go-eka.com","provided","WARM (cold email)","1","funded-recent","10-40","True","False","False","","Delilah's Law: How One Bill Exposes 3 Core Freight Risks","infile"
"quotefactory.com","provided","COOL (qualified, no signal yet)","0","","<20","True","False","False","","","infile"
"optimantra.com","provided","COOL (qualified, no signal yet)","0","","10-40","True","False","False","","","infile"
"contractorforeman.com","provided","COOL (qualified, no signal yet)","0","","11-50","True","False","False","","","infile"
"thefreetms.com","provided","SKIP (too big)","2","runs-ads|chat-tool","20-60","True","True","True","","","infile"
"rocketmatter.com","provided","SKIP (too big)","2","runs-ads|chat-tool","50-200","True","True","True","","","infile"
"mcleodsoftware.com","provided","SKIP (no demo form)","1","runs-ads","","False","True","False","","","infile"
"bestlawyers.com","provided","SKIP (no demo form)","1","runs-ads","","False","True","False","","","infile"
"americanbar.org","provided","SKIP (no demo form)","1","runs-ads","","False","True","False","","","infile"
"filevine.com","provided","SKIP (too big)","1","runs-ads","500+","True","True","False","","","infile"
"smokeball.com","provided","SKIP (too big)","1","runs-ads","100-300","True","True","False","","","infile"
"attorneyatwork.com","provided","SKIP (no demo form)","0","","","False","False","False","","","infile"
"clio.com","provided","SKIP (too big)","0","","500-1000+","True","False","False","","","infile"
"mycase.com","provided","SKIP (too big)","0","","200-500","True","False","False","","","infile"
"practicepanther.com","provided","SKIP (too big)","0","","100-300","True","False","False","","","infile"
"casepeer.com","provided","SKIP (too big)","0","","50-200","True","False","False","","","infile"
"klasresearch.com","provided","SKIP (no demo form)","0","","","False","False","False","","","infile"
"drchrono.com","provided","SKIP (too big)","0","","100-500","True","False","False","","","infile"
"greenwayhealth.com","provided","SKIP (no demo form)","0","","","False","False","False","","","infile"
"bhbusiness.com","provided","SKIP (no demo form)","0","","","False","False","False","","","infile"
"procore.com","provided","SKIP (too big)","0","","1000+","True","False","False","","","infile"
"perimattic.com","provided","SKIP (no demo form)","0","","","False","False","False","","","infile"
"autodesk.com","provided","SKIP (no demo form)","0","","","False","False","False","","","infile"
"buildertrend.com","provided","SKIP (too big)","0","","200-500","True","False","False","","","infile"
"sage.com","provided","SKIP (too big)","0","","10,000+","True","False","False","","","infile"
